Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,N/A,N/A,N/A,N/A,N/A,N/A,13.63,0.01,
PA,CS,N/A,N/A,N/A,N/A,N/A,N/A,12.83,0.01,
PA,CA,N/A,N/A,N/A,N/A,N/A,N/A,2.55,0.11,
PA,O,N/A,N/A,N/A,N/A,N/A,N/A,6.07,0.01,
PA,A,N/A,N/A,N/A,N/A,N/A,N/A,6.06,0.01,
PA,AO,N/A,N/A,N/A,N/A,N/A,N/A,7.35,0.01,
PA,OT,N/A,N/A,N/A,N/A,N/A,N/A,5.69,0.02,
PA,AT,N/A,N/A,N/A,N/A,N/A,N/A,4.98,0.03,
PA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,6.34,0.01,
CFP,CS,N/A,N/A,N/A,N/A,N/A,N/A,0.24,0.62,
CFP,CA,N/A,N/A,N/A,N/A,N/A,N/A,2.01,0.16,
CFP,O,N/A,N/A,N/A,N/A,N/A,N/A,1.95,0.16,
CFP,A,N/A,N/A,N/A,N/A,N/A,N/A,1.86,0.17,
CFP,AO,N/A,N/A,N/A,N/A,N/A,N/A,1.93,0.16,
CFP,OT,N/A,N/A,N/A,N/A,N/A,N/A,2.29,0.13,
CFP,AT,N/A,N/A,N/A,N/A,N/A,N/A,3.47,0.06,
CFP,AOT,N/A,N/A,N/A,N/A,N/A,N/A,1.69,0.19,
CS,CA,N/A,N/A,N/A,N/A,N/A,N/A,1.50,0.22,
CS,O,N/A,N/A,N/A,N/A,N/A,N/A,0.75,0.39,
CS,A,N/A,N/A,N/A,N/A,N/A,N/A,0.76,0.38,
CS,AO,N/A,N/A,N/A,N/A,N/A,N/A,0.82,0.36,
CS,OT,N/A,N/A,N/A,N/A,N/A,N/A,1.07,0.30,
CS,AT,N/A,N/A,N/A,N/A,N/A,N/A,1.90,0.17,
CS,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.66,0.42,
CA,O,N/A,N/A,N/A,N/A,N/A,N/A,0.22,0.64,
CA,A,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0.70,
CA,AO,N/A,N/A,N/A,N/A,N/A,N/A,0.23,0.63,
CA,OT,N/A,N/A,N/A,N/A,N/A,N/A,0.12,0.72,
CA,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.97,
CA,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.23,0.63,
O,A,N/A,N/A,N/A,N/A,N/A,N/A,0.01,0.94,
O,AO,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.98,
O,OT,N/A,N/A,N/A,N/A,N/A,N/A,0.03,0.86,
O,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.16,0.69,
O,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
A,AO,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.97,
A,OT,N/A,N/A,N/A,N/A,N/A,N/A,0.01,0.90,
A,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.14,0.71,
A,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.95,
AO,OT,N/A,N/A,N/A,N/A,N/A,N/A,0.03,0.85,
AO,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.23,0.63,
AO,AOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
OT,AT,N/A,N/A,N/A,N/A,N/A,N/A,0.08,0.78,
OT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.05,0.83,
AT,AOT,N/A,N/A,N/A,N/A,N/A,N/A,0.23,0.63,
