Metric,Planner,CFP,CoalitionAssistance,CoalitionSimilarity,Object,ObjectTime,ActionObject,ActionObjectTime,Makespan,IdleTime,PA,
"Makespan (s)",TFD,55.7,47.3,52.7,49.0,47.7,48.6,48.8,48.5,53.4,29.0,
"Makespan (s)",COLIN2,64.8,56.4,62.2,49.9,52.2,51.0,54.5,61.6,58.5,47.0,
"Number of Actions",TFD,84.0,73.0,77.6,75.2,73.8,73.6,74.0,74.3,79.5,67.1,
"Number of Actions",COLIN2,78.8,72.3,77.0,64.8,66.8,66.7,69.9,77.3,73.1,71.5,
"Processing Time (s)",TFD,593.2,389.2,554.1,287.9,262.5,361.2,357.6,356.4,398.7,986.1,
"Processing Time (s)",COLIN2,241.5,551.1,268.2,389.1,392.0,408.4,551.1,517.6,532.0,587.4,
"Memory Usage (GB)",TFD,8.2,5.8,9.1,4.2,3.8,4.9,4.6,6.0,6.4,14.4,
"Memory Usage (GB)",COLIN2,8.3,18.8,8.9,14.0,13.9,14.7,17.6,16.1,16.4,28.1,
"Planning Results (%)",TFD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Planning Results (%)",COLIN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
